Lafayette, Louisiana	121667
Charleston, South Carolina	120364
Evansville, Indiana	120069
Roseville, California	119277
Carrollton, Texas	119211
Thornton, Colorado	118787
Kent, Washington	118620
Frisco, Texas	117174
Allentown, Pennsylvania	118095
Abilene, Texas	117514
Surprise, Arizona	117473
Beaumont, Texas	117278
Springfield, Illinois	116996
Denton, Texas	116326
Independence, Missouri	116812
Santa Clara, California	116453
Victorville, California	115899
Vallejo, California	115914
Athens-Clarke County, Georgia	115387
Peoria, Illinois	115150
Lansing, Michigan	114265
Ann Arbor, Michigan	113988
El Monte, California	113531
Provo, Utah	112487
Berkeley, California	112513
Downey, California	111775
Norman, Oklahoma	110911
Midland, Texas	111193
Waterbury, Connecticut	110309
Costa Mesa, California	110078
Inglewood, California	109649
Manchester, New Hampshire	109549
Murfreesboro, Tennessee	109119
Columbia, Missouri	109044
Clearwater, Florida	109139
Sugar Land, Texas	107835
Elgin, Illinois	108219
Miami Gardens, Florida	107163
San Buenaventura (Ventura), California	107217
Rochester, Minnesota	106823
Arvada, Colorado	106760
Lowell, Massachusetts	106525
Pueblo, Colorado	106542
Wilmington, North Carolina	106456
Westminster, Colorado	106135
West Covina, California	106108
Fargo, North Dakota	105625
Gresham, Oregon	105639
Carlsbad, California	105328
Fairfield, California	105467
Norwalk, California	105549
Cambridge, Massachusetts	105148
Wichita Falls, Texas	104682
High Point, North Carolina	104526
Billings, Montana	104284
Murrieta, California	103731
Palm Bay, Florida	104006
West Jordan, Utah	103601
Green Bay, Wisconsin	103882
Richmond, California	103255
Burbank, California	103357
Everett, Washington	102953
Antioch, California	102745
Flint, Michigan	102266
Erie, Pennsylvania	101738
Daly City, California	101116
South Bend, Indiana	101249
Centennial, Colorado	100635
West Palm Beach, Florida	100665
Round Rock, Texas	100021
Temecula, California	100013
Pompano Beach, Florida	99839
El Cajon, California	99584
Odessa, Texas	99876
Santa Maria, California	99596
Davenport, Iowa	99701
Richardson, Texas	99251
Kenosha, Wisconsin	99279
Rialto, California	99103
Broken Arrow, Oklahoma	98837
Las Cruces, New Mexico	97706
North Charleston, South Carolina	97579
Lawton, Oklahoma	96867
Dearborn, Michigan	98146
Albany, New York	97845
Boulder, Colorado	97612
Lakeland, Florida	97270
San Mateo, California	97195
Tyler, Texas	96852
Roanoke, Virginia	96910
Livonia, Michigan	96857
Compton, California	96404
Clovis, California	95980
Lewisville, Texas	95459
Jurupa Valley, California	94986
Portsmouth, Virginia	95526
New Bedford, Massachusetts	95071
College Station, Texas	94225
South Gate, California	94412
Sandy Springs, Georgia	93826
Pearland, Texas	93117
Brockton, Massachusetts	93767
San Angelo, Texas	93221
Vista, California	93186
Greeley, Colorado	92950
Mission Viejo, California	93103
Hillsboro, Oregon	92265
Vacaville, California	92422
Quincy, Massachusetts	92262
Renton, Washington	91912
Davie, Florida	91950
Yakima, Washington	91273
Carson, California	91711
Lee's Summit, Missouri	91368
Yuma, Arizona	90717
Sparks, Nevada	91117
Lynn, Massachusetts	90324
Tuscaloosa, Alabama	90275
Hesperia, California	90100
Sandy, Utah	90180
Beaverton, Oregon	89725
Spokane Valley, Washington	89745
Redding, California	89857
Westminster, California	89619
Santa Monica, California	89742
Federal Way, Washington	89295
Waukegan, Illinois	89115
Fall River, Massachusetts	88865
